labels,features
True,"[0.33984375, 0.37890625, 0.44921875, 0.40625, 0.41015625, 0.4296875, 0.40234375, 0.453125, 0.43359375, 0.4296875]"
True,"[0.33984375, 0.37890625, 0.44921875, 0.40625, 0.41015625, 0.4296875, 0.40234375, 0.453125, 0.43359375, 0.4296875]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
True,"[0.33203125, 0.30078125, 0.2578125, 0.26171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
False,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
True,"[0.328125, 0.39453125, 0.4296875, 0.4296875, 0.39453125, 0.44921875, 0.44921875, 0.39453125, 0.39453125, 0.125]"
True,"[0.33203125, 0.30078125, 0.2578125, 0.26171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
True,"[0.2890625, 0.43359375, 0.40625, 0.4296875, 0.44921875, 0.125, 0.28125, 0.43359375, 0.4375, 0.41796875]"
True,"[0.27734375, 0.39453125, 0.43359375, 0.4453125, 0.40234375, 0.41015625, 0.37890625, 0.125, 0.32421875, 0.453125]"
False,"[0.29296875, 0.41015625, 0.4296875, 0.40234375, 0.15234375, 0.44921875, 0.125, 0.26171875, 0.43359375, 0.421875]"
False,"[0.26171875, 0.43359375, 0.4609375, 0.39453125, 0.4296875, 0.453125, 0.4453125, 0.47265625, 0.125, 0.33203125]"
False,"[0.328125, 0.39453125, 0.421875, 0.39453125, 0.38671875, 0.43359375, 0.42578125, 0.125, 0.32421875, 0.45703125]"
False,"[0.3046875, 0.37890625, 0.453125, 0.41015625, 0.43359375, 0.4296875, 0.37890625, 0.421875, 0.125, 0.3203125]"
False,"[0.3203125, 0.33984375, 0.328125, 0.28125, 0.125, 0.25390625, 0.37890625, 0.38671875, 0.40625, 0.39453125]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.27734375, 0.43359375, 0.43359375, 0.40234375, 0.421875, 0.39453125, 0.0, 0.0, 0.0, 0.0]"
True,"[0.2890625, 0.43359375, 0.40625, 0.4296875, 0.44921875, 0.125, 0.28125, 0.43359375, 0.4375, 0.41796875]"
True,"[0.2890625, 0.43359375, 0.40625, 0.4296875, 0.44921875, 0.125, 0.28125, 0.43359375, 0.4375, 0.41796875]"
False,"[0.28515625, 0.4296875, 0.453125, 0.39453125, 0.4453125, 0.4296875, 0.37890625, 0.453125, 0.41015625, 0.43359375]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.3203125, 0.47265625, 0.39453125, 0.4453125, 0.44921875, 0.43359375, 0.4296875, 0.125, 0.33203125, 0.4296875]"
False,"[0.25390625, 0.42578125, 0.41015625, 0.4453125, 0.41796875, 0.37890625, 0.3828125, 0.41015625, 0.4453125, 0.125]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.32421875, 0.421875, 0.43359375, 0.4609375, 0.37890625, 0.41796875, 0.125, 0.33203125, 0.4296875, 0.41015625]"
False,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.30859375, 0.46875, 0.3984375, 0.43359375, 0.4453125, 0.390625, 0.125, 0.33203125, 0.4296875, 0.41015625]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.26171875, 0.40625, 0.37890625, 0.421875, 0.42578125, 0.39453125, 0.4453125, 0.44921875, 0.125, 0.33203125]"
True,"[0.2890625, 0.43359375, 0.40625, 0.4296875, 0.44921875, 0.125, 0.28125, 0.43359375, 0.4375, 0.41796875]"
False,"[0.27734375, 0.43359375, 0.43359375, 0.40234375, 0.421875, 0.39453125, 0.125, 0.3203125, 0.39453125, 0.44921875]"
False,"[0.28515625, 0.4296875, 0.390625, 0.41015625, 0.37890625, 0.4296875, 0.125, 0.28515625, 0.4296875, 0.44921875]"
False,"[0.2734375, 0.33203125, 0.125, 0.2578125, 0.39453125, 0.4453125, 0.421875, 0.41015625, 0.4296875, 0.0]"
True,"[0.28515625, 0.421875, 0.421875, 0.41015625, 0.4296875, 0.43359375, 0.41015625, 0.44921875, 0.125, 0.28515625]"
False,"[0.2578125, 0.28515625, 0.328125, 0.32421875, 0.125, 0.3125, 0.41015625, 0.421875, 0.37890625, 0.4296875]"
False,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
True,"[0.3046875, 0.39453125, 0.46484375, 0.125, 0.34765625, 0.43359375, 0.4453125, 0.41796875, 0.125, 0.28515625]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.2734375, 0.25390625, 0.33203125, 0.125, 0.26953125, 0.4453125, 0.421875, 0.37890625, 0.4296875, 0.40234375]"
False,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.28515625, 0.4296875, 0.390625, 0.41015625, 0.37890625, 0.4296875, 0.125, 0.28515625, 0.4296875, 0.44921875]"
True,"[0.25390625, 0.3828125, 0.390625, 0.45703125, 0.421875, 0.421875, 0.37890625, 0.40625, 0.125, 0.27734375]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.25390625, 0.45703125, 0.40234375, 0.44921875, 0.3828125, 0.45703125, 0.4453125, 0.40234375, 0.125, 0.33203125]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
True,"[0.34375, 0.41015625, 0.37890625, 0.42578125, 0.39453125, 0.4296875, 0.125, 0.33203125, 0.4296875, 0.41015625]"
False,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
True,"[0.2890625, 0.43359375, 0.40625, 0.4296875, 0.44921875, 0.125, 0.28125, 0.43359375, 0.4375, 0.41796875]"
True,"[0.3046875, 0.43359375, 0.4453125, 0.453125, 0.40625, 0.46484375, 0.39453125, 0.44921875, 0.453125, 0.39453125]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
True,"[0.3046875, 0.43359375, 0.4453125, 0.453125, 0.40625, 0.39453125, 0.37890625, 0.44921875, 0.453125, 0.39453125]"
True,"[0.328125, 0.39453125, 0.4296875, 0.4296875, 0.39453125, 0.44921875, 0.44921875, 0.39453125, 0.39453125, 0.125]"
True,"[0.30078125, 0.43359375, 0.4296875, 0.37890625, 0.44921875, 0.40625, 0.125, 0.33203125, 0.4296875, 0.41015625]"
True,"[0.33203125, 0.4296875, 0.41015625, 0.4609375, 0.39453125, 0.4453125, 0.44921875, 0.41015625, 0.453125, 0.47265625]"
False,"[0.27734375, 0.43359375, 0.43359375, 0.40234375, 0.421875, 0.39453125, 0.0, 0.0, 0.0, 0.0]"
